gsmaker                              0x1
anseq                                0x14
seqdefine                            0x1E
bsbanbflip                           0x1F
bsbanpackwhack                       0x23
bsbansack                            0x27
bsbanshack                           0x31
bsbansnooze                          0x38
bsbanswim                            0x3E
bsbbarge                             0x42
bsbbilldrill                         0x43
bsbbuster                            0x47
bsbabykaz                            0x48
bsbee                                0x57
bsbeefly                             0x5A
bsbeemain                            0x5F
bsbeggass                            0x6B
bsbegghead                           0x6F
bsbflap                              0x73
bsbflip                              0x77
bsbfly                               0x7B
bsbkflamethrower                     0x85
bsblongleg                           0x8A
bsbpeck                              0xAA
bsbreegullbash                       0xAE
bsbshock                             0xB2
bsbswim                              0xBA
bsbtrot                              0xC9
bsbwhirl                             0x101
bscarry                              0x11E
bschokedie                           0x123
bsclaw                               0x127
bsclimb                              0x12B
bscrashout                           0x138
bscrouch                             0x13C
bsdie                                0x141
bsdrone                              0x14D
bsdronebitten                        0x151
bsdronebubbled                       0x15A
bsdronefalldie                       0x162
bsdronefired                         0x166
bsdronegoto                          0x16A
bsdronejump                          0x16E
bsdronelook                          0x173
bsdroneslide                         0x178
bsdronesuckunder                     0x17B
bsdronevanish                        0x17F
bsdronewaitbabykaz                   0x182
bsdronexform                         0x186
bsjump                               0x18A
bskaz                                0x19F
bskazcrouch                          0x1A4
bskazeggass                          0x1A9
bskazflamethrower                    0x1AD
bskazfly                             0x1B2
bskazdie                             0x1BC
bskazglide                           0x1C0
bskazhatch                           0x1C5
bskazegghead                         0x1C6
bskazjump                            0x1CA
bskazmove                            0x1DA
bskazow                              0x1E6
bskazpaddle                          0x1E8
bskazshock                           0x1EE
bskazshoesspringjump                 0x1F7
bskazshoessuckspline                 0x1FB
bskazspring                          0x204
bskazstill                           0x205
bskazstilt                           0x210
bskaztorpedo                         0x230
bskazwingwhack                       0x238
bsledge                              0x23A
bsmum                                0x243
bsmumattack                          0x252
bsmumcast                            0x253
bsmummove                            0x258
bsmumsplat                           0x25D
bsmumstill                           0x25E
bsmumswim                            0x260
bsow                                 0x268
bsrebound                            0x26C
bsrest                               0x26D
bsride                               0x282
bssilowait                           0x286
bssnowball                           0x287
bssplat                              0x293
bssplitup                            0x295
bsstand                              0x2A9
bsstatue                             0x2B6
bsstonehead                          0x2C0
bssub                                0x2EC
bsswim                               0x2F4
bstalk                               0x2F8
bstaxi                               0x2FD
bsthrow                              0x321
bstimeout                            0x326
bstnt                                0x32E
bstntswim                            0x33E
bstrexlarge                          0x343
bstrexsmall                          0x353
bsturn                               0x363
bstwirl                              0x367
bsvan                                0x368
bsvanswim                            0x379
bswalk                               0x37C
bsfirstp                             0x392
bswasher                             0x3B8
baalarm                              0x3C4
baattach                             0x3C8
bababykaz                            0x3CF
babackpack                           0x3DE
babee                                0x3E9
baboost                              0x3F2
babounce                             0x3F8
bacough                              0x403
badata                               0x409
bapackctrl                           0x42D
babuzz                               0x433
badialog                             0x439
badrone                              0x43E
badronemem                           0x45F
baduo                                0x463
badust                               0x478
baeggsetup                           0x486
baeggaim                             0x491
baeggcursor                          0x495
baeggfire                            0x4A1
baflameline                          0x4AA
baflamethrower                       0x4B2
bafly                                0x4B8
bafpctrl                             0x4CD
bahold                               0x4E1
bahitspline                          0x4E9
bakaztorpedo                         0x4EC
bamovegoto                           0x4F5
bamovehover                          0x503
bamoveledge                          0x508
bamovespline                         0x50C
bamovethrust                         0x517
bamum                                0x51E
bapreload                            0x524
bapulse                              0x526
bareact                              0x52B
basetup                              0x531
bashake                              0x536
bashoes                              0x538
bashoessuck                          0x54D
basquash                             0x553
basnowball                           0x558
baspin                               0x564
bastatemem                           0x568
basub                                0x56C
basudie                              0x57C
baswim                               0x589
batimer                              0x598
batranslate                          0x5A4
bavan                                0x5A9
bawandglow                           0x5B2
bawasher                             0x5BA
bawobble                             0x5C4
bamotor                              0x5CD
bainvisible                          0x5D1
badeathmatch                         0x5DB
baairbar                             0x5E7
cadbmgrDll                           0x5E8
cadbio                               0x5EB
cadbfunc                             0x5EC
capod                                0x60F
chclimbbase                          0x626
chbadshad                            0x628
chshockjump                          0x62D
chblink                              0x630
chswitch                             0x635
chpickups                            0x642
chjigsaw                             0x64D
chbounce                             0x64F
chbaddieDll                          0x659
chusefeather                         0x65D
chgoldsnakehead                      0x661
chanim                               0x664
chweather                            0x66C
chidgoldhorde                        0x674
chfishshootgame                      0x676
chlagoonufoext                       0x679
chlagoonufoint                       0x67A
chnests                              0x681
chbanjocurrent                       0x68F
chnastycavemen                       0x691
chcamwaypoint                        0x693
chmasterjiggy                        0x694
chjiggygamenew                       0x697
chwaspnestgame                       0x69C
chwarppad                            0x69E
chjiggytemple                        0x69F
chscreenadjust                       0x6A2
chminisubgame                        0x6A4
chjiggypost                          0x6A6
chhoneyb                             0x6A7
chgameselect                         0x6AA
chjiggybeam                          0x6B2
chattract                            0x6B3
chwitchytents                        0x6B6
chfantasybounce                      0x6B8
chcactusofstrength                   0x6BA
chcaveofhorrorsdoors                 0x6BD
chinflatableboss                     0x6BE
chballoonbomb                        0x6BF
chfairgroundworker                   0x6C0
chgobiwitchy                         0x6C4
chbabydino                           0x6C5
chhillbilly                          0x6C6
chdiggerground                       0x6C7
chdiggergroundgen                    0x6C8
chdiggerfly                          0x6C9
chcheato                             0x6CB
chcheatopage                         0x6CC
chwarriorbaddy                       0x6CD
chstonepillar                        0x6CE
chboggykids                          0x6D0
chmrsboggy                           0x6D1
chmineprospector                     0x6D2
chonearmbandit                       0x6D5
chtntblockage                        0x6D7
chtntdetonator                       0x6D8
chtnthut                             0x6DA
chtntminecelldoor                    0x6DB
chmadamegrunty                       0x6DC
chlightdemon                         0x6DE
chevilspirit                         0x6E0
chhotfloorsmoke                      0x6E1
chboilerboss                         0x6E2
chburgerstand                        0x6E6
chfriesstand                         0x6EA
chboxingglove                        0x6EE
chconga                              0x6F0
chstarspinnerplanet                  0x6F1
chstarspinnerstar                    0x6F3
chstarspinnerctrl                    0x6F4
chhellterskelter                     0x6F9
chcablespark                         0x6FC
chcablecar                           0x6FD
chhellterskeltermouth                0x6FF
charea51gate                         0x700
chghostdoor                          0x701
chfloater                            0x703
chpumproomgrill                      0x704
chpumproomswitch                     0x705
chbouncycastle                       0x707
chspotlight                          0x70C
chballoonburst                       0x70D
chpawnbroker                         0x710
chhoopswoop                          0x713
chtiptup                             0x716
chseaweedbaddy                       0x719
choctopus                            0x71B
chanemone                            0x71D
chjollyroger                         0x71F
chdinofoot                           0x722
chfreezy                             0x723
chdinoswitches                       0x726
chlagoonbits                         0x72B
chbigterrysbits                      0x731
chdinoboss                           0x734
chphlegm                             0x736
chlilterry                           0x739
chdinocoaster                        0x73A
chpowerhut                           0x73B
chpowerhutwitchy                     0x740
chboilerid                           0x746
chflamer                             0x74D
chpoolkids                           0x750
chnicecavemen                        0x754
chfactorylight                       0x758
chfirefx                             0x75A
chbonfirecavern                      0x761
chterryegg                           0x762
charmouredcaveman                    0x766
chintrotext                          0x767
chfactoryprop                        0x76B
chtrashcompactor                     0x76F
chfactoryliftdoor                    0x773
chfactorycrusher                     0x775
chfactoryrobot                       0x777
chmermaidstatue                      0x77A
chdoor                               0x77C
chfactorygoblin                      0x77E
chfactorytoxicpools                  0x77F
chbigtopticket                       0x783
chlagoonpirate                       0x784
chvandoor                            0x785
chcoderoombits                       0x786
chdingpot                            0x789
chelectricfence                      0x78A
chfactorysmoke                       0x78D
chappearfx                           0x78E
chbilldrillplate                     0x792
chrainripples                        0x795
chdumbwaiterlift                     0x796
chmrsicecube                         0x797
chgobihailfire                       0x799
chbigfoot                            0x79B
chbiggafoot                          0x79C
chicestationbits                     0x79E
chmricecube                          0x7A0
chiciclebits                         0x7A1
chsabreman                           0x7A2
chbanjoctrl                          0x7A6
chklungo                             0x7A9
chklungophial                        0x7AA
chklungoforcefield                   0x7AC
chklungodoors                        0x7AD
chklungoleave                        0x7AF
chlightfader                         0x7B0
chvolcanobits                        0x7B3
chhotwaterpoolbits                   0x7B8
chnicecavemenguard                   0x7BE
chscorepoints                        0x7BF
chicywind                            0x7C2
chdippy                              0x7C3
chfactoryflypad                      0x7C7
chloggo                              0x7C9
chkingjinjo                          0x7CB
chbottlesfamily                      0x7CD
chnutsnbolts                         0x7D0
chfactorytwinklies                   0x7D3
chstatueboss                         0x7D9
chproplighter                        0x7DB
chmonsterinterior                    0x7DC
chalienkids                          0x7E1
chlifeforcespell                     0x7E5
changlerboss                         0x7E8
changlerbossflare                    0x7EA
changlerbossbubble                   0x7EB
chzubba                              0x7EC
chfireimp                            0x7ED
chmumboskulls                        0x7EE
ch2dbaddy                            0x7EF
chweldarboss                         0x7F0
chaliendad                           0x7F3
chalienbeam                          0x7F6
chweldarbossdoors                    0x7F7
chweldarbossfireball                 0x7F9
chweldarbossfusebox                  0x7FA
chcrystalbaddie                      0x7FD
chflowerbaddie                       0x7FE
chexploder                           0x7FF
chboggykidshome                      0x810
chmrsboggyhome                       0x813
chweldarhead                         0x814
chcamerawibble                       0x815
changlerbossdoor                     0x816
chboilerbossdoor                     0x817
chinflatablebossdoor                 0x818
chstatuebossbits                     0x819
chhotwatersteam                      0x81D
chcastleshockpadswitch               0x81E
chtalontorpedoboulder                0x81F
chexplodingchainlinks                0x820
chlagoonbilldrillcover               0x821
chgobicommon                         0x822
chwitchyshockpadswitch               0x823
chsquits                             0x824
chbottlesplantgrill                  0x825
chkingjinjobits                      0x826
chklungospiral                       0x828
chfactoryposter                      0x829
chjigsawcollect                      0x82A
chdiggerboss                         0x82C
chdiggerbossdoor                     0x830
chgruntyfireball                     0x832
chdiggerbossshell                    0x833
chdiggerbossbattery                  0x835
chgruntyfireballbig                  0x836
chdiggerbossinterior                 0x837
chbottlesparty                       0x838
chlavafall                           0x83A
chnewshovel                          0x83B
chspiralgrill                        0x83C
chwaterfallfx                        0x83D
chfireicestorm                       0x83E
chboggyboy                           0x840
chboggygirl                          0x841
chboggyfatboy                        0x842
chdoormake                           0x844
chchompaslunch                       0x851
chdiggerbossdeflect                  0x852
chmoley                              0x853
chmolehill                           0x856
chclockworkmouse                     0x85D
chjamjarsdummy                       0x85F
chcanarymarycage                     0x860
chbadjinjo                           0x861
chmineproplight                      0x862
chnewmumbo                           0x863
chfiregen                            0x865
chtimetable                          0x877
chmole_maya                          0x878
chmole_mine                          0x87A
chmole_training                      0x87B
chstoneballcontrol                   0x87D
chmayafarmer                         0x883
chstoneballcoach                     0x885
chfog                                0x886
chcrusher                            0x887
chglowbo                             0x88C
chhandcart                           0x893
chcredits                            0x896
chcrusherboulder                     0x899
chjigsawbitcont                      0x89A
chintroticker                        0x89C
chstadiumdoors                       0x89D
chsignpost                           0x89E
chmrtannoy                           0x89F
chbeehive                            0x8A0
chhoney                              0x8A1
chjinjo                              0x8A4
chevilmumbo                          0x8AB
chmole_witchy                        0x8AF
chsounder                            0x8B0
chhumba                              0x8B1
chflysaucer                          0x8B3
chflysaucercrate                     0x8B6
chchuffy                             0x8B7
chchuffycont                         0x8BA
chcheatomenu                         0x8BE
chstatictorch                        0x8BF
chfloorbubbles                       0x8C0
chmumbopad                           0x8C1
chhoneycarrier                       0x8C3
chjujubagfx                          0x8C4
chintrochar                          0x8C7
chintrocam                           0x8C9
chminelightswitch                    0x8CA
chminelight                          0x8CB
chlakemonster                        0x8CC
chdodgemcontrol                      0x8D2
chdodgemdoors                        0x8D5
chbadbeehive                         0x8D6
chflysaucerdoor                      0x8D7
chbaddiesetup                        0x8D9
chchuffyglow                         0x8E3
chtoothyfish                         0x8E5
chmole_lagoon                        0x8E7
chmole_overworld                     0x8E8
chquizremotectrl                     0x8E9
cheel                                0x8EA
chblackeye                           0x8EB
chlagoonfish                         0x8EC
chpiranha                            0x8ED
chskeletonexplode                    0x8F0
chnewfreezy                          0x8F8
chdrips                              0x8FA
chsilo                               0x8FD
chmusicmenu                          0x8FE
chmole_hailfire                      0x901
chmole_factory                       0x902
chmole_prehist                       0x903
chcollballcontrol                    0x904
chcolldoors                          0x90A
chmole_cuckoo                        0x90B
chdragonbrothers                     0x90C
chwallsnakebaddy                     0x911
chamazongoldhordeofficial            0x912
chlavatraindoor                      0x913
chjadesnake                          0x914
chstonedartgunhead                   0x915
chfriendlystonehead                  0x917
chlavacolumnswitch                   0x918
chlavaslabswitch                     0x919
chcrackarchwall                      0x91A
chtntbox                             0x91B
chquicksandbaddy                     0x91D
chamazonstadiumguard                 0x91F
chlavatraindoorswitch                0x920
chbilldrillboulder                   0x921
chcrate                              0x924
chgate1doors                         0x928
chmumbopadstatue                     0x92A
chtemplebrokendoorpiece              0x92B
chlavaarchgrillswitch                0x92C
chprisonbits                         0x92D
chwaterfallgrillswitch               0x933
chwaterfallgrill                     0x934
chlavacolumns                        0x936
chcoderoomdoor                       0x937
chlavaslab                           0x938
chlavaarchgrill                      0x939
chmumboskullfakearchpanellava        0x93A
chgruntylairexttowerwindow           0x93C
chlagoonentrygate                    0x93D
chhagstraindoor                      0x93E
chhagstraindoorswitch                0x93F
chlavaentrancebridge                 0x940
chlavaentrancebridgeswitch           0x941
chmayaentrydoor                      0x942
chbottlesdead                        0x943
chmineentrygrille                    0x944
chlavaentrydoor                      0x945
chcauldronentrydoor                  0x946
