fxkern                             0x801DE310
chmole_factory                     0x801E4790
gsmaker                            0x801C5860
anseq                              0x801C6620
seqdefine                          0x801E4790
bsbanbflip                         0x801C6620
bsbanpackwhack                     0x801C6620
bsbansack                          0x801C0110
bsjig                              0x801C5860
bamovethrust                       0x801E4790
bashoes                            0x8037E080
basnowball                         0x8037DB80
baswim                             0x8037E750
bsbanshack                         0x801BD0D0
bsbansnooze                        0x801BD0D0
bsbanswim                          0x801BD0D0
bsbbarge                           0x801C5860
bsbbuster                          0x801C5860
bsbabykaz                          0x801D4420
bsbee                              0x801E4790
bsbeemain                          0x801D4420
bsbeggass                          0x801E21D0
bsbegghead                         0x801C6620
bsbflap                            0x801C5860
bsbflip                            0x801C5860
baairbar                           0x801E4790
baalarm                            0x801C6620
baattach                           0x8037EC70
babackpack                         0x8037E5A0
babee                              0x8037E960
baboost                            0x8037E9B0
babounce                           0x8037E660
babuzz                             0x8037EA60
bacough                            0x8037EA40
badeathmatch                       0x801C5860
badialog                           0x801E4790
badronemem                         0x801E4790
badust                             0x8037E010
baeggaim                           0x8037E8C0
baeggcursor                        0x8037E660
baeggfire                          0x8037E660
baeggsetup                         0x8037E470
baflameline                        0x8037E560
baflamethrower                     0x8037EA90
bafly                              0x80193540
bafpctrl                           0x8037DBC0
bahitspline                        0x801E4790
bahold                             0x8037EB10
bakaztorpedo                       0x8037E8F0
bainvisible                        0x8037E330
bamotor                            0x801E4790
bamovegoto                         0x801C5860
bamovehover                        0x801E4790
bamoveledge                        0x8037ECD0
bamovespline                       0x801C5860
bamum                              0x8037EA90
bapackctrl                         0x8037E990
bapulse                            0x8037EC00
bareact                            0x8037EB90
bashake                            0x801E4790
bashoessuck                        0x801C5860
baspin                             0x8037E9A0
basquash                           0x8037E600
bastatemem                         0x801E4790
basub                              0x8037E090
basudie                            0x801C6620
batranslate                        0x8037EB30
bavan                              0x8037EA40
bawandglow                         0x8037EB80
bawasher                           0x8037E960
bawobble                           0x8037E930
bsbkflamethrower                   0x801C6620
bsblongleg                         0x801D4420
bsbpeck                            0x801C6620
bsbreegullbash                     0x801C5860
bsbshock                           0x801C5860
bsbswim                            0x801C0110
bsbtrot                            0x801C0110
bsbwhirl                           0x80191C00
gcaudiolist                        0x801E4790
gcboundDll                         0x801D4420
gccollectDll                       0x801BD0D0
gccubeDll                          0x801C5860
gccubesearch                       0x80191C00
gcdialogDll                        0x801E4790
gcdialogcamera                     0x801C5860
gcdialogexec                       0x801C0110
gcegg                              0x801E4790
gcextra                            0x801E4790
gcgamefix                          0x8037EBA0
gcintrotext                        0x801C5860
gclightsDll                        0x8037E7A0
gcmapDll                           0x8019B940
gcmapsects                         0x801C0110
gcmapsects_lagoonbot               0x801C6620
gcmapsects_lagoonmid               0x801C6620
gcmapsects_lagoontop               0x801C5860
gcnewoption                        0x801C0110
gcskyDll                           0x801BD0D0
gcstatusDll                        0x801E4790
gcwater                            0x8037ECC0
gczoombox                          0x8019DBB0
gczoomboxdata                      0x801D4420
glcrc                              0x801E4790
gldbDll                            0x8037E870
gldbstring                         0x801E4790
gldialog                           0x801E4790
gleeprom                           0x8037EC60
glgamedata                         0x801C6620
glgamestore                        0x801E4790
glglobaldata                       0x801E4790
